"BUS_STOP_N,C,65","BUS_ROOF_N,C,10","LOC_DESC,C,254"
09121,B05,BEF TOMLINSON RD
14329,B01,BLK 67
51059,B20,AFT TOA PAYOH RISE
98219,B05,PRATT & WHITNEY CANADA
64009,NIL,HOUGANG CTRL INT
01621,B03,OPP SHAW TWRS
42129,B01,SIXTH AVE VILLE
27371,B02,OPP BLK 755
43449,B03,BLK 258
58311,B08,BLK 354
16119,NIL,TELETECH PK
67431,B03,OPP BLK 291A
67051,B26,OPP SELETAR HILL EST
59559,B05,OPP BLK 722
17139,B11,AFT CLEMENTI SWIM CPLX
75079,B05,BLK 819
93031,B15,OPP VICTORIA SCH
65301,NIL,DAMAI STN EXIT B
14369,B08,THE INTERLACE
83261,B06,OPERA EST PR SCH
44689,B03A,SUNSHINE PL
11469,B09,QUEENSWAY SEC SCH
64191,B23,AFT TPE
53261,B02,OPP BISHAN STADIUM
28441,B03,SEVENTH-DAY ADVENT CH
16009,TMNL,KENT RIDGE TER
52291,B04,BLK 59
10351,B02,BEF TIONG BAHRU RD
93139,B01,EASTERN LAGOON II
25079,B08,NISSIN TPT
63231,B03,BET BLKS 210/211
23399,B04,KEPPEL OFFSHORE & MARINE
70329,B03,AFT KALLANG WAY 2
12129,B06,BLK 3
23051,B06,BEF KIAN TECK RD
22491,NIL,BLK 662D
